model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc
RAW LOGISTIC REGRESSION,0.7629179331306991,0.5070346320346321,0.7685185185185185,0.9880952380952381,0.8645833333333334,0.5986909915481344,0.8179321022139672
ENGINEERED LOGISTIC REGRESSION,0.7629179331306991,0.5070346320346321,0.7685185185185185,0.9880952380952381,0.8645833333333334,0.5985879200164915,0.8180332754433548
RANDOM FOREST,0.5896656534954408,0.5517676767676768,0.7969543147208121,0.623015873015873,0.6993318485523385,0.5863739435168006,0.826598835491134
HISTOGRAM GRADIENT BOOSTING,0.7507598784194529,0.5306637806637806,0.7777777777777778,0.9444444444444444,0.8530465949820788,0.565141207998351,0.8106151822515727
